trial  XDAT   ttype  cond   occur  face#  roi#   x      y      w      h      							x	y	w	h
18	133	2	1	1	2	3	398.9	227.3	31.7	20.2	
18	133	2	1	1	2	4	392.8	247.8	40.0	22.1	
19	41	1	1	1	0	1	285.6	175.4	85.3	127.3	
19	41	1	1	1	0	2	287.9	191.6	66.2	32.6	
19	41	1	1	1	0	3	299.5	224.5	35.2	26.0	
19	41	1	1	1	0	4	297.1	250.0	43.5	20.4	
20	42	1	1	1	0	1	275.7	175.6	88.5	127.9	
20	42	1	1	1	0	2	284.7	192.0	70.3	30.3	
20	42	1	1	1	0	3	304.7	222.7	33.1	25.3	
20	42	1	1	1	0	4	298.9	248.0	43.4	21.1	
21	43	1	1	1	0	1	268.0	174.1	88.1	130.5	
21	43	1	1	1	0	2	286.1	190.7	67.6	34.9	
21	43	1	1	1	0	3	309.9	225.9	33.4	25.6	
21	43	1	1	1	0	4	305.3	251.6	41.8	21.8	
22	141	2	1	1	0	1	284.0	182.7	74.4	109.1	
22	141	2	1	1	0	2	286.4	198.4	54.3	29.7	
22	141	2	1	1	0	3	296.8	228.4	30.1	20.2	
22	141	2	1	1	0	4	293.6	248.5	38.2	19.6	
22	141	2	1	1	1	1	204.8	180.4	69.9	111.7	
22	141	2	1	1	1	2	207.1	198.7	53.7	24.0	
22	141	2	1	1	1	3	214.2	222.3	30.9	22.1	
22	141	2	1	1	1	4	213.4	244.8	37.0	20.1	
22	141	2	1	1	2	1	372.3	181.4	70.9	110.0	
22	141	2	1	1	2	2	373.9	200.0	53.7	24.9	
22	141	2	1	1	2	3	381.8	225.3	29.0	23.0	
22	141	2	1	1	2	4	378.4	248.7	40.3	19.5	
23	142	2	1	1	0	1	367.2	178.4	76.3	119.9	
23	142	2	1	1	0	2	374.1	199.4	60.7	28.1	
23	142	2	1	1	0	3	387.7	227.8	33.3	20.8	
23	142	2	1	1	0	4	383.8	248.5	40.5	18.9	
23	142	2	1	1	1	1	196.0	179.1	76.0	117.8	
23	142	2	1	1	1	2	202.8	196.9	61.1	25.5	
23	142	2	1	1	1	3	217.6	222.8	33.3	22.4	
23	142	2	1	1	1	4	213.9	245.0	38.9	21.4	
23	142	2	1	1	2	1	283.4	178.7	70.5	119.0	
23	142	2	1	1	2	2	292.2	199.1	55.6	25.9	
23	142	2	1	1	2	3	304.2	225.3	32.5	21.5	
23	142	2	1	1	2	4	298.7	246.5	41.6	22.1	
24	143	2	1	1	0	1	199.9	178.1	72.9	116.1	
24	143	2	1	1	0	2	213.0	200.6	56.8	29.4	
24	143	2	1	1	0	3	230.9	230.4	30.1	18.6	
24	143	2	1	1	0	4	227.2	249.2	37.3	18.3	
24	143	2	1	1	1	1	281.2	180.7	73.1	114.5	
24	143	2	1	1	1	2	293.6	201.4	58.0	24.9	
24	143	2	1	1	1	3	313.4	226.6	29.8	21.1	
24	143	2	1	1	1	4	309.0	247.5	37.6	22.4	
24	143	2	1	1	2	1	363.5	181.8	75.4	118.0	
24	143	2	1	1	2	2	374.8	199.4	61.2	28.1	
24	143	2	1	1	2	3	393.3	227.9	32.2	22.1	
24	143	2	1	1	2	4	389.1	250.4	40.6	21.7	
25	51	1	1	1	0	1	290.1	174.7	80.5	126.9	
25	51	1	1	1	0	2	292.3	193.7	64.6	32.6	
25	51	1	1	1	0	3	301.9	226.6	34.1	22.1	
25	51	1	1	1	0	4	299.0	248.7	45.3	22.7	
26	52	1	1	1	0	1	281.8	173.4	81.0	128.9	
26	52	1	1	1	0	2	287.4	193.8	68.3	32.0	
26	52	1	1	1	0	3	305.1	226.1	33.8	24.0	
26	52	1	1	1	0	4	299.2	250.0	47.4	23.0	
27	53	1	1	1	0	1	273.8	174.1	83.7	129.2	
27	53	1	1	1	0	2	287.4	189.0	65.8	33.8	
27	53	1	1	1	0	3	311.0	222.5	35.0	25.0	
27	53	1	1	1	0	4	305.4	247.7	42.4	24.0	
28	151	2	1	1	0	1	369.8	172.8	78.7	124.5	
28	151	2	1	1	0	2	371.9	190.4	61.1	30.1	
28	151	2	1	1	0	3	380.7	220.8	32.3	25.0	
28	151	2	1	1	0	4	376.8	245.7	43.4	22.1	
28	151	2	1	1	1	1	200	166.89	76	125.76
28	151	2	1	1	1	2	201.6	187.92	64	32.64
28	151	2	1	1	1	3	211.2	219.56	32.8	21.12
28	151	2	1	1	1	4	209.6	243.1	42.4	24
28	151	2	1	1	2	1	284.8	169.89	74.4	125.76
28	151	2	1	1	2	2	286.4	187.92	61.6	32.64
28	151	2	1	1	2	3	295.2	219.56	31.2	20.16
28	151	2	1	1	2	4	294.4	242.14	40	25.92
29	152	2	1	1	0	1	194.4	168.89	79.2	127.68
29	152	2	1	1	0	2	198.4	187.92	69.6	33.6
29	152	2	1	1	0	3	216.8	220.52	32	21.12
29	152	2	1	1	0	4	212.8	244.11	43.2	23.04
29	152	2	1	1	1	1	281.6	172.9	76.8	121.92
29	152	2	1	1	1	2	285.6	188.93	67.2	32.64
29	152	2	1	1	1	3	304	220.57	30.4	21.12
29	152	2	1	1	1	4	299.2	244.11	44	25.92
29	152	2	1	1	2	1	360.8	171.9	83.2	122.88
29	152	2	1	1	2	2	367.2	184.92	71.2	36.48
29	152	2	1	1	2	3	387.2	220.4	34.4	20.16
29	152	2	1	1	2	4	381.6	243.15	42.4	22.08
30	153	2	1	1	0	1	364	171.9	76.8	126.72
30	153	2	1	1	0	2	373.6	184.92	65.6	37.44
30	153	2	1	1	0	3	399.2	221.36	33.6	21.12
30	153	2	1	1	0	4	394.4	244.11	40.8	24.96
30	153	2	1	1	1	1	196	171.9	68.8	120
30	153	2	1	1	1	2	205.6	190.93	57.6	30.72
30	153	2	1	1	1	3	228.8	220.65	28.8	17.28
30	153	2	1	1	1	4	223.2	240.27	36.8	25.92
30	153	2	1	1	2	1	277.6	174.9	79.2	119.04
30	153	2	1	1	2	2	288	191.93	65.6	28.8
30	153	2	1	1	2	3	311.2	219.73	32	21.12
30	153	2	1	1	2	4	304.8	243.1	41.6	26.88
31	61	1	1	1	0	1	284.8	168.89	82.4	132.48
31	61	1	1	1	0	2	286.4	188.93	64.8	35.52
31	61	1	1	1	0	3	296	223.45	34.4	24
31	61	1	1	1	0	4	295.2	249.99	38.4	27.84
32	62	1	1	1	0	1	276	168.89	84.8	134.4
32	62	1	1	1	0	2	281.6	183.92	75.2	37.44
32	62	1	1	1	0	3	301.6	220.36	35.2	24
32	62	1	1	1	0	4	297.6	247.99	43.2	25.92
33	63	1	1	1	0	1	269.6	168.89	86.4	133.44
33	63	1	1	1	0	2	284.8	185.92	68.8	37.44
33	63	1	1	1	0	3	311.2	222.36	33.6	22.08
33	63	1	1	1	0	4	305.6	248.07	40.8	28.8
34	161	2	1	1	0	1	202.4	175.9	73.6	111.36
34	161	2	1	1	0	2	203.2	191.93	59.2	31.68
34	161	2	1	1	0	3	212	222.61	30.4	20.16
34	161	2	1	1	0	4	211.2	245.15	34.4	24
